video_title,view_count,like_count,comment_count,channel_name,subscriber_count
My Blood Vs Hydrogen Peroxide | രക്തം വെച്ചുള്ള കളി | M4 Tech |,2563836,61164,1320,M4 Tech,13700000
മൂട്ടിപഴം പറിക്കാൻ പോയപ്പോൾ | Baccaurea Courtallensis | M4 Tech |,2251721,41987,1136,M4 Tech,13700000
പനനൊങ്ക് ചുട്ടത് | Grilled Palm Fruit Fry | M4 Tech |,1364628,38645,644,M4 Tech,13700000
Panaiyur Palm Candy Making | പനം കൽക്കണ്ടം ഉണ്ടാകുന്ന സൂത്രം | M4 Tech |,1991448,44359,693,M4 Tech,13700000
I Bought A Big Camel | ഞാൻ ഒരു ഒട്ടകത്തെ വാങ്ങിച്ചപ്പോൾ | M4 TECH |,1385049,44661,1321,M4 Tech,13700000
Traditional Jaggery Making | കരിപ്പെട്ടി ഉണ്ടാകുന്ന പാരമ്പര്യ രീതി | M4 Tech |,1641510,50455,931,M4 Tech,13700000
നമ്മൾ പുതിയ ബസും കുതിരയും വാങ്ങിച്ചു | Buying New Horse | M4 Tech |,2984656,73993,3107,M4 Tech,13700000
First Moving Aquarium In The World | ലോകത്തിലെ ആദ്യത്തെ ഓടുന്ന അക്വാറിയം | M4 Tech |,3730735,69265,1496,M4 Tech,13700000
Floating Island Day 2 | ഒഴുകുന്ന ദ്വീപിൽ മൃഗങ്ങൾക്ക് കൊണ്ടുവന്നപ്പോൾ | M4 Tech |,2665727,70731,1724,M4 Tech,13700000
First Plastic Bottle Floating Island In Kerala | പ്ലാസ്റ്റിക് കുപ്പി ദ്വീപ് | | M4 Tech | Ep : 1,1641329,84957,1737,M4 Tech,13700000
Bike Silencer Grilled Fish | ചുട്ട് പഴുത്ത സൈലൻസർ മീൻ വെച്ചപ്പോൾ | M4 Tech |,4496092,101317,2050,M4 Tech,13700000
100 KG Dragon Fruit Milk Shake | ഡ്രാഗൺ പഴം ഷേക്ക് അടിച്ചപ്പോൾ | M4 Tech |,5465735,91314,2130,M4 Tech,13700000
Giant Burger | 50KG Burger | ഇന്ത്യയിലെ ഏറ്റവും വലുത് | M4 Tech |,6196379,143027,2349,M4 Tech,13700000
Kunjuttan Rocks : 14 | M4 Tech Diamond Playbutton Unboxing | M4 Tech | #shorts,3450759,159888,563,M4 Tech,13700000
